"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 23, 2021","3,708.62","3,742.43","3,752.12","3,653.34","36.24K","-1.30%"
"Feb 22, 2021","3,757.31","3,830.81","3,855.06","3,756.40","35.40M","-1.24%"
"Feb 19, 2021","3,804.63","3,754.13","3,807.49","3,689.28","66.89M","1.90%"
"Feb 18, 2021","3,733.69","3,834.51","3,834.51","3,720.78","39.24M","-2.76%"
"Feb 17, 2021","3,839.85","3,870.63","3,873.03","3,793.46","86.74M","-0.73%"
"Feb 16, 2021","3,868.27","3,832.32","3,907.38","3,832.32","105.88M","1.21%"
"Feb 15, 2021","3,822.00","3,670.43","3,832.77","3,670.43","144.63M","5.11%"
"Feb 10, 2021","3,636.16","3,630.41","3,645.27","3,578.22","20.38M","0.19%"
"Feb 09, 2021","3,629.40","3,619.70","3,711.67","3,619.70","27.59M","0.37%"
"Feb 08, 2021","3,615.92","3,648.89","3,656.04","3,593.74","20.81M","-0.95%"
"Feb 05, 2021","3,650.64","3,640.68","3,663.55","3,605.59","27.33M","0.60%"
"Feb 04, 2021","3,628.70","3,700.11","3,700.11","3,591.84","29.20M","-1.94%"
"Feb 03, 2021","3,700.35","3,688.57","3,717.62","3,641.63","29.64M","0.54%"
"Feb 02, 2021","3,680.53","3,663.39","3,736.52","3,640.80","46.34M","1.29%"
"Feb 01, 2021","3,633.69","3,537.87","3,638.53","3,448.53","41.04M","2.56%"
"Jan 29, 2021","3,542.93","3,666.08","3,730.30","3,492.25","63.77M","-3.12%"
"Jan 28, 2021","3,656.85","3,758.37","3,758.45","3,625.11","77.23M","-3.02%"
"Jan 27, 2021","3,770.88","3,841.14","3,859.28","3,760.15","102.06M","-1.66%"
"Jan 26, 2021","3,834.38","3,864.22","3,881.27","3,807.19","158.87M","-1.04%"
"Jan 25, 2021","3,874.53","3,776.35","3,875.48","3,776.35","65.54M","2.75%"
"Jan 22, 2021","3,770.97","3,859.67","3,905.82","3,770.93","38.16M","-2.00%"
"Jan 21, 2021","3,848.03","3,836.22","3,876.42","3,798.11","33.58M","0.43%"
"Jan 20, 2021","3,831.61","3,694.33","3,852.24","3,694.33","47.33M","4.00%"
"Jan 19, 2021","3,684.29","3,635.44","3,701.38","3,604.70","36.30M","1.52%"
"Jan 18, 2021","3,629.01","3,624.08","3,666.11","3,553.46","38.17M","0.14%"
"Jan 15, 2021","3,624.04","3,633.28","3,732.31","3,611.32","47.26M","0.05%"
