,concept_id,label_ko,label_en,class0,class1,class2,class3,20200701-20200930,20200401-20200630,20200101-20200930,20200101-20200630,20200101-20200331,20190701-20190930,20190401-20190630,20190101-20191231,20190101-20190930,20190101-20190630,20190101-20190331,20180701-20180930,20180401-20180630,20180101-20181231,20180101-20180930,20180101-20180630,20180101-20180331,20170701-20170930,20170401-20170630,20170101-20171231,20170101-20170930,20170101-20170630,20170101-20170331,20160701-20160930,20160401-20160630,20160101-20161231,20160101-20160930,20160101-20160630,20160101-20160331,20150701-20150930,20150401-20150630,20150101-20151231,20150101-20150930,20150101-20150630,20150101-20150331,20140701-20140930,20140401-20140630,20140101-20141231,20140101-20140930,20140101-20140630,20140101-20140331,20130701-20130930,20130401-20130630,20130101-20131231,20130101-20130930,20130101-20130630,20130101-20130331,20120701-20120930,20120401-20120630,20120101-20121231,20120101-20120930,20120101-20120630,20120101-20120331,20110701-20110930,20110601-20110930,20110401-20110630,20110301-20110630,20110101-20111231,20110101-20110930,20110101-20110630,20110101-20110331,20100601-20100930,20100301-20100630,20100101-20101231,20100101-20100930,20100101-20100630,20100101-20100331,20090601-20090930,20090301-20090630,20090101-20091231,20090101-20090930,20090101-20090630,20090101-20090331
0,ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [abstract],당기순이익(손실),,,9360690000000 ,5555080000000 ,19800700000000 ,10440000000000 ,4884930000000 ,6287660000000 ,5180580000000 ,21738900000000 ,16511800000000 ,10224200000000 ,5043590000000 ,13150700000000 ,11043400000000 ,44344900000000 ,35882700000000 ,22732000000000 ,11688500000000 ,11193400000000 ,11053900000000 ,42186700000000 ,29931600000000 ,18738200000000 ,7684350000000 ,4537860000000 ,5847390000000 ,22726100000000 ,15638100000000 ,11100200000000 ,5252800000000 ,5458560000000 ,5752300000000 ,19060100000000 ,15836700000000 ,10378100000000 ,4625820000000 ,4222350000000 ,6250780000000 ,23394400000000 ,18047600000000 ,13825200000000 ,7574440000000 ,8244740000000 ,7773810000000 ,30474800000000 ,23173500000000 ,14928800000000 ,7154940000000 ,6564930000000 ,5193420000000 ,23845300000000 ,16806800000000 ,10241900000000 ,5048460000000 ,3441710000000 ,3441710000000 ,3506360000000 ,3506360000000 ,13759000000000 ,9732810000000 ,6291100000000 ,2784740000000 ,4455430000000 ,4276920000000 ,16182400000000 ,12726100000000 ,8270690000000 ,3993770000000 ,3806140000000 ,2334520000000 ,9760550000000 ,6722890000000 ,2916750000000 ,582230000000 
1,ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,포괄손익계산서 [abstract],기타포괄손익,,,(588515000000),256034000000 ,706687000000 ,1295200000000 ,1039170000000 ,1823970000000 ,1756280000000 ,3016190000000 ,6405620000000 ,4581640000000 ,2825360000000 ,(1762130000000),1226240000000 ,(12242000000),386961000000 ,2149090000000 ,922852000000 ,1868100000000 ,2968440000000 ,(5502260000000),(95516000000),(1963610000000),(4932050000000),(4340480000000),118124000000 ,1991400000000 ,(4383550000000),(43071000000),(161195000000),1482830000000 ,563953000000 ,76071000000 ,1226800000000 ,(256027000000),(819980000000),(173415000000),(2321770000000),(1993410000000),(2452810000000),(2279400000000),42371000000 ,(2103310000000),1570330000000 ,(1006840000000),692901000000 ,2796210000000 ,1225880000000 ,(132474000000),(628685000000),(1717080000000),(200024000000),(67550000000),561135000000 ,677343000000 ,677343000000 ,(160080000000),(160080000000),(887485000000),273902000000 ,(403441000000),(243361000000),157034000000 ,1324160000000 ,906465000000 ,768650000000 ,611616000000 ,(712545000000),(948166000000),(220105000000),(661706000000),(342279000000),605887000000 ,825992000000 
2,dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 포괄손익,"Other comprehensive income that will not be reclassified to profit or loss, net of tax",포괄손익계산서 [abstract],기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 포괄손익,,758700000000 ,1516020000000 ,1085440000000 ,326736000000 ,(1189280000000),172057000000 ,164953000000 ,(50765000000),905737000000 ,733680000000 ,568727000000 ,327458000000 ,25783000000 ,(656647000000),175847000000 ,(151611000000),(177394000000),(21063000000),(18945000000),407900000000 ,(79222000000),(58159000000),(39214000000),(1528000000),(25992000000),1014040000000 ,(49940000000),(48412000000),(22420000000),(17833000000),(26798000000),288047000000 ,(69179000000),(51346000000),(24548000000),(15366000000),(15581000000),(720945000000),(35973000000),(20607000000),(5026000000),(786000000),(8393000000),(213113000000),(17777000000),(16991000000),(8598000000),2379000000 ,8407000000 ,(504120000000),(70832000000),(73211000000),(81618000000),,,,,(385214000000),,,,,,(235019000000),,,,,,,,,1408220000000 
3,entity00126380_udf_IS_2018510181631532_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,기타포괄손익-공정가치금융자산평가손익,oci-fair value assessment,포괄손익계산서 [abstract],기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 포괄손익,기타포괄손익-공정가치금융자산평가손익,773032000000 ,1498950000000 ,1162370000000 ,389339000000 ,(1109610000000),188193000000 ,181816000000 ,1146600000000 ,978090000000 ,789897000000 ,608081000000 ,329267000000 ,76999000000 ,(235865000000),231382000000 ,(97885000000),(174884000000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossNetOfTax,관계기업 및 공동기업의 기타포괄손익에 대한 지분,"Share of other comprehensive income of associates and joint ventures accounted for using equity method that will not be reclassified to profit or loss, net of tax",포괄손익계산서 [abstract],기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 포괄손익,관계기업 및 공동기업의 기타포괄손익에 대한 지분,(6345000000),21823000000 ,(31496000000),(25151000000),(46974000000),(905000000),363000000 ,(16896000000),(2662000000),(1757000000),(2120000000),15595000000 ,(32047000000),(10631000000),16919000000 ,1324000000 ,33371000000 ,(476000000),(1192000000),(6347000000),(1784000000),(1308000000),(116000000),37459000000 ,(1730000000),50438000000 ,36092000000 ,(1367000000),363000000 ,(524000000),(970000000),24069000000 ,(1939000000),(1415000000),(445000000),22408000000 ,(57892000000),(10627000000),(61509000000),(83917000000),(26025000000),(10392000000),(13984000000),20756000000 ,(9003000000),1389000000 ,15373000000 ,9091000000 ,(71387000000),(350491000000),(209043000000),(218134000000),(146747000000),(47439000000),(47439000000),40400000000 ,40400000000 ,(113898000000),(26212000000),21227000000 ,(19173000000),99776000000 ,413229000000 ,387457000000 ,414448000000 ,314672000000 ,(98557000000),69751000000 ,28466000000 ,49879000000 ,122920000000 ,53169000000 ,24703000000 
5,dart_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,순확정급여부채 재측정요소,"Other comprehensive income, net of tax, gains (losses) on remeasurements of defined benefit plans",포괄손익계산서 [abstract],기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 포괄손익,순확정급여부채 재측정요소,(7987000000),(4756000000),(45439000000),(37452000000),(32696000000),(15231000000),(17226000000),(1180470000000),(69691000000),(54460000000),(37234000000),(17404000000),(19169000000),(410151000000),(72454000000),(55050000000),(35881000000),(20587000000),(17753000000),414247000000 ,(77438000000),(56851000000),(39098000000),(38987000000),(24262000000),963602000000 ,(86032000000),(47045000000),(22783000000),(17309000000),(25828000000),263978000000 ,(67240000000),(49931000000),(24103000000),(15366000000),(15581000000),(710318000000),(35973000000),(20607000000),(5026000000),(786000000),(8393000000),(213113000000),(17777000000),(16991000000),(8598000000),2379000000 ,8407000000 ,(504120000000),(70832000000),(73211000000),(81618000000),,,,,(385214000000),,,,,,(235019000000),,,,,,,,,
6,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 포괄손익,"Other comprehensive income that will be reclassified to profit or loss, net of tax",포괄손익계산서 [abstract],기타포괄손익,후속적으로 당기손익으로 재분류되는 포괄손익,,(1347220000000),(1259980000000),(378749000000),968466000000 ,2228450000000 ,1651920000000 ,1591330000000 ,3066960000000 ,5499880000000 ,3847960000000 ,2256630000000 ,(2089590000000),1200460000000 ,644405000000 ,211114000000 ,2300700000000 ,1100250000000 ,1889160000000 ,2987380000000 ,(5910160000000),(16294000000),(1905450000000),(4892840000000),(4338950000000),144116000000 ,977360000000 ,(4333610000000),5341000000 ,(138775000000),1500660000000 ,590751000000 ,(211976000000),1295980000000 ,(204681000000),(795432000000),(158049000000),(2306190000000),(1272470000000),(2416840000000),(2258790000000),47397000000 ,(2102530000000),1578730000000 ,(793725000000),710678000000 ,2813200000000 ,1234480000000 ,(134853000000),(637092000000),(1212960000000),(129192000000),5661000000 ,642753000000 ,677343000000 ,677343000000 ,(160080000000),(160080000000),(502271000000),273902000000 ,(403441000000),(243361000000),157034000000 ,1324160000000 ,1141480000000 ,768650000000 ,611616000000 ,(712545000000),,,(661706000000),,,
7,entity00126380_udf_IS_2020210124628932_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,매도가능금융자산평가손익,Gains (losses) on remeasuring available-for-sale financial assets,포괄손익계산서 [abstract],기타포괄손익,후속적으로 당기손익으로 재분류되는 포괄손익,매도가능금융자산평가손익,,,,,,,,,,,,,,,,,,279139000000 ,340151000000 ,511207000000 ,784445000000 ,505306000000 ,165155000000 ,(456032000000),(44680000000),(23839000000),(426117000000),29915000000 ,74595000000 ,(339259000000),(743746000000),(414961000000),(818154000000),(478895000000),264851000000 ,(292853000000),(220086000000),(232105000000),(562797000000),(269944000000),(49858000000),200941000000 ,574138000000 ,186480000000 ,1039850000000 ,838906000000 ,264768000000 ,226689000000 ,(45363000000),962184000000 ,876987000000 ,650298000000 ,695661000000 ,(664687000000),(664687000000),86404000000 ,86404000000 ,(572028000000),(614820000000),49867000000 ,(36537000000),362199000000 ,(57258000000),932384000000 ,428665000000 ,66466000000 ,123724000000 ,(114115000000),164559000000 ,108217000000 ,186502000000 ,300617000000 ,136058000000 
8,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax,관계기업 및 공동기업의 기타포괄손익에 대한 지분,"Share of other comprehensive income of associates and joint ventures accounted for using equity method that will be reclassified to profit or loss, net of tax",포괄손익계산서 [abstract],기타포괄손익,후속적으로 당기손익으로 재분류되는 포괄손익,관계기업 및 공동기업의 기타포괄손익에 대한 지분,(15349000000),(4661000000),8934000000 ,24283000000 ,28944000000 ,36397000000 ,27704000000 ,48649000000 ,101816000000 ,65419000000 ,37715000000 ,(23665000000),16239000000 ,6688000000 ,14860000000 ,38525000000 ,22286000000 ,9364000000 ,69582000000 ,(49256000000),23594000000 ,14230000000 ,(55352000000),(37909000000),(22907000000),(130337000000),(172758000000),(134849000000),(111942000000),(1205000000),48788000000 ,(65330000000),3976000000 ,5181000000 ,(43607000000),22408000000 ,(57892000000),(118305000000),(61509000000),(83917000000),(26025000000),(10392000000),(13984000000),,(9003000000),1389000000 ,15373000000 ,9091000000 ,(71387000000),(350491000000),(209043000000),(218134000000),(146747000000),,,,,(113898000000),,,,,,,,,,,,,,,
9,ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,해외사업장환산외환차이,"Gains (losses) on exchange differences on translation, net of tax",포괄손익계산서 [abstract],기타포괄손익,후속적으로 당기손익으로 재분류되는 포괄손익,해외사업장환산외환차이,(1329770000000),(1259230000000),(360459000000),969311000000 ,2228540000000 ,1609490000000 ,1567640000000 ,3016500000000 ,5386510000000 ,3777020000000 ,2209380000000 ,(2060900000000),1137660000000 ,590638000000 ,164035000000 ,2224930000000 ,1087270000000 ,1604340000000 ,2628940000000 ,(6334990000000),(775954000000),(2380300000000),(5009230000000),(3845010000000),211703000000 ,1131540000000 ,(3734730000000),110275000000 ,(101428000000),1841120000000 ,1285710000000 ,268315000000 ,2110160000000 ,269033000000 ,(1016680000000),112396000000 ,(2028210000000),(922059000000),(1792530000000),(1904930000000),123280000000 ,(2293070000000),1018570000000 ,(1000960000000),(320166000000),1972910000000 ,954335000000 ,(370633000000),(520342000000),(1824650000000),(797136000000),(426503000000),93839000000 ,1389470000000 ,1389470000000 ,(286884000000),(286884000000),183655000000 ,914934000000 ,(474535000000),(187651000000),(304941000000),968190000000 ,(178357000000),(74463000000),230478000000 ,(737712000000),(981944000000),(398375000000),(819802000000),(656707000000),325237000000 ,723612000000 
